Date,High,Low,Open,Close,Volume,Adj Close
2015/08/26,4703.97,4530.03,4633.51,4697.54,2631660000,4697.54
2015/08/27,4818.71,4721.79,4761.05,4812.71,2368880000,4812.71
2015/08/28,4836.78,4788.38,4792.11,4828.32,1936540000,4828.32
2015/08/31,4824.61,4763.42,4798.68,4776.51,1839010000,4776.51
2015/09/01,4722.13,4614.91,4673.61,4636.1,2253750000,4636.1
2015/09/02,4749.98,4659.41,4704.42,4749.98,1929080000,4749.98
2015/09/03,4800.18,4721.91,4763.1,4733.5,1803320000,4733.5
2015/09/04,4712.67,4657.82,4670.35,4683.92,1574720000,4683.92
2015/09/08,4815.04,4754.89,4769.72,4811.93,1765600000,4811.93
2015/09/09,4862.88,4746.73,4856.27,4756.53,1963750000,4756.53
2015/09/10,4826.33,4746.52,4749.96,4796.25,1845770000,4796.25
2015/09/11,4822.34,4763.15,4770.73,4822.34,1686190000,4822.34
2015/09/14,4832.0,4791.08,4831.98,4805.76,1467740000,4805.76
2015/09/15,4872.35,4802.09,4819.32,4860.52,1587460000,4860.52
2015/09/16,4893.44,4848.15,4860.43,4889.24,1666380000,4889.24
2015/09/17,4960.87,4880.5,4884.11,4893.95,1891510000,4893.95
2015/09/18,4878.71,4819.09,4828.71,4827.23,3272150000,4827.23
2015/09/21,4881.46,4795.91,4851.98,4828.95,2021530000,4828.95
2015/09/22,4776.28,4716.91,4762.29,4756.72,2042880000,4756.72
2015/09/23,4780.64,4735.13,4764.69,4752.74,1606330000,4752.74
2015/09/24,4746.21,4670.12,4717.89,4734.48,1995820000,4734.48
2015/09/25,4785.22,4659.48,4782.41,4686.5,2050530000,4686.5
2015/09/28,4665.21,4529.41,4665.06,4543.97,2387610000,4543.97
2015/09/29,4596.06,4487.06,4551.04,4517.32,2293450000,4517.32
2015/09/30,4620.16,4559.18,4574.38,4620.16,2398350000,4620.16
2015/10/01,4628.23,4559.21,4624.46,4627.08,2133990000,4627.08
2015/10/02,4707.78,4552.34,4566.13,4707.78,2183320000,4707.78
2015/10/05,4785.91,4740.24,4742.13,4781.26,2005320000,4781.26
2015/10/06,4783.37,4711.79,4767.63,4748.36,2085020000,4748.36
2015/10/07,4791.15,4728.71,4775.05,4791.15,2149890000,4791.15
2015/10/08,4819.07,4737.93,4775.06,4810.79,1984230000,4810.79
